ticker,company_name,sector,industry,current_price,market_cap_billions,total_score,growth_score,value_score,quality_score,momentum_score,sentiment_score,sector_score,revenue_growth,earnings_growth,gross_margin,operating_margin,trailing_pe,forward_pe,price_to_sales,price_to_book,peg_ratio,return_on_equity,debt_to_equity,insider_ownership,institutional_ownership,short_percent,target_price,recommendation,num_analysts,beta,average_volume
ZVRA,"Zevra Therapeutics, Inc.",Healthcare,Biotechnology,8.86,0.49879616,77,17,12,18,10,5,15,6.054,,0.80651003,0.15896,18.851063,14.290322,5.9107475,3.7399745,,0.34814,47.097,0.00778,0.72153,0.0713,22.54375,1.25,8.0,1.082,1221156
RGR,"Sturm, Ruger & Company, Inc.",Industrials,Aerospace & Defense,37.05,0.598803264,76,25,10,17,4,5,15,0.536,1.381,0.38257,0.29824,264.64285,19.296875,0.8194523,2.0427854,,0.49620998,0.498,0.14351,0.72111,0.074,44.5,,2.0,,317810
CRMD,CorMedix Inc.,Healthcare,Biotechnology,8.02,0.631888192,74,12,15,19,8,5,15,8.102,,0.94307,0.49241,3.6289594,6.538026,2.9485643,1.6795812,,0.75084996,39.805,0.07078,0.62950003,0.2293,14.85714,1.42857,7.0,1.361,3341685
ISSC,Innovative Solutions and Suppor,Industrials,Aerospace & Defense,19.05,0.33867744,74,22,7,16,4,10,15,0.446,1.197,0.48059,0.36991,21.647726,21.404493,4.0176744,5.1992354,,0.28097,37.365,0.18686001,0.47893003,0.0475,24.0,1.0,4.0,0.668,499311
MDXG,"MiMedx Group, Inc",Healthcare,Biotechnology,5.14,0.761245056,74,17,13,18,6,5,15,0.353,1.138,0.81988,0.19511999,19.037035,42.833332,1.9348344,3.1846344,,0.19443001,7.623,0.01656,0.71889,0.053600002,10.4,1.0,5.0,1.573,952478
NAGE,"Niagen Bioscience, Inc.",Healthcare,Biotechnology,5.99,0.478038752,73,22,10,16,2,8,15,0.329,1.5,0.63894004,0.124639995,24.958332,23.96,3.8332338,6.7760177,,0.38896,4.323,0.34002,0.41447,0.1099,15.8,,5.0,2.347,857651
INVA,"Innoviva, Inc.",Healthcare,Biotechnology,19.75,1.476689024,72,19,14,18,4,2,15,0.204,54.789,0.84540004,0.35323003,11.897591,9.705159,3.800796,1.4620965,,0.15174,32.005,0.01011,1.06744,0.104499996,32.5,,4.0,0.445,837785
RIGL,"Rigel Pharmaceuticals, Inc.",Healthcare,Biotechnology,35.16,0.63820128,70,14,10,19,10,2,15,0.256,1.086,0.83091,0.40914002,5.680129,9.457384,2.2625153,5.424252,,2.20058,51.765,0.02658,0.85302,0.2094,51.6,1.8,5.0,1.107,604003
HRMY,"Harmony Biosciences Holdings, I",Healthcare,Biotechnology,36.86,2.123001856,69,14,10,20,6,4,15,0.287,0.101,0.77698,0.27348,11.62776,6.8506904,2.5703945,2.542069,,0.25934,20.324,0.12137,0.90596,0.22729999,46.45455,1.63636,11.0,0.836,760778
NRDS,"NerdWallet, Inc.",Communication Services,Internet Content & Information,12.4,0.94240128,69,16,12,19,8,5,9,0.124,268.627,0.91597,0.15993,13.191489,8.37306,1.1854104,2.3026924,,0.20226,3.554,0.039219998,0.78353995,0.0805,16.16667,,6.0,1.437,802555
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,30.0,4.762783744,69,20,6,18,6,4,15,0.928,120.5,0.85341,0.18159,10.830325,16.900076,8.954318,7.048872,,1.11956,41.919,0.07232,0.65050006,0.22469999,44.85714,1.66667,7.0,1.864,2046696
BYRN,"Byrna Technologies, Inc.",Industrials,Aerospace & Defense,14.22,0.323156832,68,17,11,16,2,7,15,0.351,1.25,0.61316,0.1016,21.22388,29.020409,2.9151835,5.1114306,,0.29709998,3.852,0.20854999,0.65976995,0.2274,39.7,,5.0,2.301,412081
SLDE,"Slide Insurance Holdings, Inc.",Financial Services,Insurance - Property & Casualty,16.76,2.10333696,68,17,12,19,6,10,4,0.328,4.267,0.62418,0.55675,5.7006803,5.788492,2.0082521,2.1595156,,0.52287,4.672,0.44233,0.30219,0.0479,23.0,2.0,5.0,,1077260
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,24.58,3.021186304,67,14,11,20,4,3,15,0.153,0.2,0.83133006,0.44657,14.374269,9.499737,5.2251945,3.2922583,,0.27519,0.314,0.06145,0.86405,0.090900004,34.57143,1.0,7.0,0.719,1319353
TASK,"TaskUs, Inc.",Technology,Information Technology Services,10.78,0.974701952,67,19,14,12,2,8,12,0.17,1.429,0.40289003,0.13762,12.25,6.850577,0.85139227,1.7171073,,0.15403,54.21,0.24871999,0.75482005,0.0856,15.9,3.0,5.0,2.123,307471
TXO,"TXO Partners, L.P.",Energy,Oil & Gas E&P,11.99,0.65686368,67,22,15,9,2,10,9,0.468,14.368,0.52031,0.03727,29.974998,23.98,1.8025303,0.8921794,,0.024820002,36.823,0.24781999,0.30995,0.0219,19.0,1.0,3.0,0.054,269385
EGAN,eGain Corporation,Technology,Software - Application,10.37,0.28052048,66,11,11,17,6,9,12,0.078,4.0,0.71613,0.12051,8.570248,28.805553,3.1120532,3.3408504,,0.4943,4.061,0.4102,0.50785,0.0615,15.16667,2.33333,3.0,0.817,383270
RAMP,"LiveRamp Holdings, Inc.",Technology,Software - Infrastructure,24.19,1.586995072,66,16,15,12,4,4,15,0.077,15.076,0.70359004,0.10722999,41.706898,9.37597,2.0377781,1.6436775,,0.040960003,3.532,0.036140002,0.96365,0.038,40.375,,8.0,1.118,568565
EVER,"EverQuote, Inc.",Communication Services,Internet Content & Information,22.72,0.829572032,65,19,11,17,4,5,9,0.203,0.613,0.96843004,0.100839995,15.777777,9.1001215,1.2868445,4.6700926,,0.36812,1.638,0.12819,0.88752997,0.0857,34.2,,5.0,0.457,451866
RITM,Rithm Capital Corp.,Real Estate,REIT - Mortgage,11.92,6.606024192,65,22,12,12,8,7,4,0.458,0.773,1.0,0.25119,8.164383,5.286922,1.6675849,0.9294347,,0.110369995,370.212,0.00435,0.54368997,0.015,14.5,1.4,8.0,1.22,6770900
PRGS,Progress Software Corporation,Technology,Software - Infrastructure,39.71,1.703859584,64,19,13,13,2,2,15,0.175,21.357,0.85033,0.17191,23.921686,6.6654577,1.7424889,3.5144703,,0.15948,298.927,0.01894,1.14394,0.1514,65.5,1.33333,6.0,0.606,634806
VITL,"Vital Farms, Inc.",Consumer Defensive,Farm Products,28.13,1.2595072,64,22,13,14,6,5,4,0.372,1.25,0.37805998,0.10757,21.310604,16.498533,1.7692665,3.8023791,,0.20712,16.992,0.20678,0.99833,0.3545,49.45455,1.16667,11.0,1.108,1842780
AVPT,"AvePoint, Inc.",Technology,Software - Infrastructure,11.92,2.57220864,63,14,8,12,6,8,15,0.236,5.0,0.74505997,0.100889996,,30.465675,6.5285645,5.428051,,0.0067299996,4.058,0.2942,0.69388,0.061100002,19.01792,1.57143,13.0,1.092,1952350
BKV,BKV Corporation,Energy,Oil & Gas E&P,30.25,2.933413376,63,22,9,14,2,7,9,0.492,4.0,0.54271,0.41307,63.020836,14.473685,3.5663517,1.5141655,,0.027209999,27.744,0.69588995,0.23746,0.1458,31.0,1.11111,9.0,,877141
III,"Information Services Group, Inc",Technology,Information Technology Services,5.59,0.269412672,63,16,10,8,8,9,12,0.018,2.0,0.42238998,0.07357,29.421053,15.74648,1.116556,2.8303797,,0.10216,72.351,0.2755,0.68657994,0.0176,7.16667,1.5,3.0,1.042,301943
KROS,"Keros Therapeutics, Inc.",Healthcare,Biotechnology,17.99,0.548084544,63,17,14,9,6,2,15,35.758,,0.37191,-1.07867,11.532051,-6.1160727,2.221502,1.0389235,,0.10425,2.477,0.036340002,1.07981,0.1487,23.5,,8.0,0.9,808996
PAY,"Paymentus Holdings, Inc.",Technology,Software - Infrastructure,27.48,3.446775296,63,20,9,9,6,4,15,0.342,0.273,0.24768,0.06392,58.468082,36.259514,3.0667279,6.413069,,0.118090004,1.369,0.04296,0.94945,0.0355,39.42857,,7.0,1.493,744703
